,fields,keywords,company,text
10,Accounts Administrator Cover Letter ,"Oversaw, smooth, receivable, payable, weekly","Lesley Enterprises, Meriwether Industries, Earned Bachelor, Accounting Specialist","Upon learning of your need for an Accounts Administrator, I am submitting my resume for consideration. As an Accounts Administrator with four years of experience handling the accounting and finances for Lesley Enterprises, I believe my experience has honed the skills and abilities I need to make a difference at your organization.
My professional experience includes facilitating the smooth flow of accounts receivable and accounts payable, and promptly addressing payroll issues as they arose. I am confident I can use what I learned from this experience to help Meriwether Industries succeed.
Below is a list of my most important qualifications and accomplishments.
 Earned Bachelor’s degree in Accounting from Michigan State
 Prepared daily, weekly, and monthly financial reports and presented them to decision makers
 Performed bookkeeping tasks on a regular basis
 Managed life cycle of payroll process for approximately 50 employees, from collecting and validating employee timesheets to processing payroll and paying payroll taxes
 Processed payroll deductions such as child support garnishments and 401K deductions
 Oversaw and controlled all accounts payable responsibilities, and managed 941 tax duties
I believe what separates me from other candidates is I fully understand the importance of the role of Accounting Specialist and have the skills to succeed in the job. I take my job seriously, and you would not be disappointed by bringing me onto your team. Please contact me at your earliest convenience to arrange an interview
Sincerely,"
11,Accounts Assistant Cover Letter ,"complementary, recent, motivational, dedicated, special",,"Upon learning of your need for a dedicated and analytical Accounts Assistant, I quickly decided to submit my resume for your review. With my strong understanding of accounting principles gained throughout my educational background, as well as my superior administrative and organizational skills, I feel confident in my ability to significantly benefit your company.
From achieving strong knowledge of tax strategies and financial documents to conducting research and analyzing reports, my background has prepared me to excel in this role. Additionally, I possess complementary abilities in general 
 tasks such as filing, phone coverage, bookkeeping, and data entry. With a solid foundation in accounting and finance, my time management and collaboration abilities make me ready to thrive in this position.
Highlights of my background include...
 Graduating Cum Laude with a Bachelor’s degree in Accounting and attaining comprehensive knowledge of strategic financial planning, tax preparation, and general US GAAP accounting principles.
 Preparing financial and accounting-related reports and supporting special projects while excelling within detail-oriented, deadline-driven environments.
 Utilizing organizational, interpersonal, and motivational skills to achieve outstanding results.
With my recent academic-based experience in accounting, coupled with my enthusiasm and dedication to achieving success, I believe I will swiftly surpass your expectations for this role. I look forward to discussing the position in further detail.
Thank you for your time and consideration.
Sincerely,"
12,Accounts Clerk Cover Letter ,"minimal, firm, receivable, payable, independent","J.G. Bocheroy Financial Group, Bachelor, Commerce","Upon review of your posting for an Accounts Clerk, I hastened to submit my resume for your consideration. With my strong understanding of accounting principles gained throughout my recent professional background, coupled with my superior administrative support skills and my rock-solid work ethic, I feel confident that I would significantly benefit your accounting team.
From preparing invoices and making payments to generating documents and routing phone calls, my background has prepared me to excel in this role. With a firm grasp in the foundations in accounting and finance, my additional abilities in communication, problem-solving, and office organization position me ready to thrive as your next Accounts Clerk.
Highlights of my background include:
 Honing my administrative support talents through my role as an Administrative Assistant with J.G. Bocheroy Financial Group, assisting accountants in comprehensive office and bookkeeping tasks to drive productivity, efficiency, and accuracy.
 Preparing financial and accounting-related reports, managing accounts payable / receivable, and organizing tax returns while excelling within detail-oriented, deadline-driven environments.
 Graduating with a Bachelor’s degree in Commerce and Finance in 2015 and attaining overarching knowledge of general accounting principles.
 Utilizing time management, interpersonal, and collaboration skills to generate peak results.
 Excelling in independent work environments with minimal supervision.
With my recent education in accounting and finance, coupled with my administrative skill set and my enthusiasm and dedication to achieving success, I believe I could swiftly surpass your expectations for this role. I look forward to discussing the position in further detail.
Thank you for your time and consideration.
Sincerely,"
13,Assistant Accountant Cover Letter ,"intensive, receivable, payable, recent, educational",,"Upon review of your posting for an Assistant Accountant, I hastened to submit my resume for your consideration. With my strong understanding of accounting principles gained throughout my educational and recent professional background, as well as my superior organizational and analytical skills, I feel confident that I would significantly benefit your team.
From achieving strong knowledge of tax strategies and financial planning operations to conducting research and analyzing reports, my background has prepared me to excel in this role. With a solid foundation in accounting and finance, my communication and team leadership abilities position me ready to thrive in this position.
Highlights of my background include:
 Graduating in 2015 with a Bachelor of Arts degree in Accounting and attaining comprehensive knowledge of strategic financial planning, tax preparation, and general accounting principles.
 Preparing financial and accounting-related reports, managing accounts payable / receivable, performing reconciliations, handling journal entries, and preparing tax returns while excelling within detail-oriented, learning-intensive, and deadline-driven environments.
 Leveraging excellent time management, interpersonal, and problem-solving skills to generate peak results.
With my recent experience in accounting and finance, coupled with my enthusiasm and dedication to achieving success, I believe I could swiftly surpass your expectations for this role. I look forward to discussing the position in further detail.
Thank you for your time and consideration.
Sincerely,"
14,Associate Director Cover Letter ,"delighted, higher, seamless, basic, organized","the Jensen Museum, The Gwinnett Museum, Business Administration, the Jensen Museum","Upon learning of your need for a proven and dedicated Associate Director, I felt compelled to submit my resume for your review. As an organized and motivated professional with experience providing comprehensive administrative and operational support to optimize organizational performance and efficiency, I am confident that I would be a valuable asset to your team at the Jensen Museum.
My background includes excellent experience supporting management staff in running all facets of operations and programs. From developing and implementing procedures and coordinating meetings to overseeing activities and ensuring goal achievement, my experience has prepared me to excel in this role at your organization. Backed by my proven communication and multitasking capabilities, I excel at providing organizational and time-management expertise and ensuring seamless business operations for teams of any size.
Below are just a few highlights of my professional experience:
 Serving as the Associate Director with The Gwinnett Museum, working directly with the program director in supporting this organization to meet its mission.
 Managing general administrative functions to ensure efficient organizational operations, working collaboratively and professionally with up to 32 employees and volunteers and enabling executives to focus on higher-level responsibilities.
 Handling basic accounting tasks with a focus on reducing administrative expenses.
 Performing extensive office management functions—including report generation, project management, records maintenance, HR / payroll functions, and volunteer / staff training coordination. Often implemented successful new systems to improve efficiency and goal achievement.
 Earning a Bachelor’s degree in Business Administration from Georgia State University.
With my proven commitment to delivering the highest level of administrative and program support, I would be delighted to put my skills to work to further the exceptional mission of the Jensen Museum. Thank you for your consideration, I look forward to the opportunity to discuss this position and my qualifications with you further.
Sincerely,"
15,Audit Associate Cover Letter ,"advanced, non, regulatory, appropriate, special","KPG Financial, Smith & Associates, GAAP, Microsoft","Upon review of your posting for an Audit Associate, I hastened to send you my resume. With my strong understanding of auditing and taxation principles gained throughout my background, as well as my superior organizational and analytical skills, I feel confident that I would significantly benefit your team at KPG Financial.
My financial skill set aligns quite well with your firm’s areas of expertise. With a strong knowledge of tax strategies, regulatory compliance, and auditing operations, along with my key ability to conduct research and analyze reports, my experience has prepared me to excel in this role. Additionally, my degree in accounting and finance coupled with my communication and team collaboration abilities position me ready to thrive in this capacity with your firm.
Highlights of my background include:
 Coordinating audits for publicly and privately held clients across multiple industries including communications, technology, healthcare, manufacturing, and non-profit; preparing audit work papers, compiling statements, and performing appropriate testing.
 Excelling in an audit assistant role with Smith & Associates, delivering overarching auditing and accounting support while communicating directly with clients regarding general financial issues.
 Coordinating special financial and accounting-related projects while excelling within detail-oriented, deadline-driven environments.
 Preparing to graduate with a Master’s degree in Accounting and currently sitting for the CPA exam; attaining comprehensive knowledge of strategic financial planning, tax preparation, audit coordination, and general accepted accounting principles (GAAP).
 Demonstrating expertise in advanced Microsoft Excel tools and functions.
With my strong experience in finance and accounting, coupled with my enthusiasm and dedication to achieving success, I believe I could swiftly surpass your expectations for this role. I look forward to discussing the position in further detail.
Thank you for your time and consideration.
Sincerely,"
16,Auditor Cover Letter ,"sensitive, bottom, improved, positioned, inherent",,"When I learned of Topaz’s need for an experienced Auditor, I felt compelled to submit the enclosed resume. As an experienced auditing manager with more than 11 years of experience directing all facets of financial audits, I am well positioned to exceed your expectations for this role.
From analyzing financial and tax reports to analyzing statements to ensure regulatory compliance, I excel in strategically leading all aspects of auditing and accounting operations to mitigate risk/loss. My additional success in driving teams to top performance levels—along with my dedication to boosting the bottom line—prepares me to make a significant impact on your organization.
Consider the following highlights of my experience:
 Accurately and expeditiously performing financial statement analyses, compliance audits, data mining, and report preparation.
 Driving all aspects of audit engagements and preparing audit plans by developing key risk assessment models.
 Suggesting and implementing improved and highly efficient policies, procedures, and controls designed to maximize profitability and accuracy.
 Excelling within time-sensitive, fast-paced atmospheres while resolving issues and motivating teams to achieve maximum productivity and efficiency.
With my experience in performing general auditing operations, combined with my inherent leadership, interpersonal, and organizational skills, I am ready to provide outstanding service within your company. I look forward to discussing the position with you in further detail. Thank you for your consideration.
Sincerely,"
17,Chartered Accountant Cover Letter ,"astute, procedural, particular, seasoned, sensitive",IRS,"When I learned of your need for a new Chartered Accountant, I felt compelled to submit the enclosed resume. As a seasoned accounting professional with more than 18 years of management experience overseeing corporate accounting systems, I am well positioned to exceed your expectations for this role.
From analyzing financial statements and reports and preparing annual budgets/forecasts to projecting strategic financial information and generating cash flow analyses, I excel in directing all business aspects of accounting and financial operations. My proven success in leading teams to peak performance levels—along with my astute ability to identify areas for procedural improvement to contain costs and boost the bottom line—prepares me to make a significant impact on your company.
Please consider the following highlights of my experience, which include:
 Accurately and meticulously managing a full range of accounting responsibilities—including intercompany invoicing, cash account maintenance, financial report generation, budget analysis, and audits’to propel corporate financial performance.
 Conducting analytical reviews on all reporting formats, maintaining particular focus on trend analysis and ratio maintenance.
 Advising senior executives on tax liabilities and performing both individual and corporate tax computations while liaising between the company and the IRS.
 Recommending and implementing improved internal policies, procedures, and controls designed to maximize profitability and efficiency and safeguard corporate assets.
 Excelling within time-sensitive, fast-paced atmospheres while providing key administrative support, resolving issues, and motivating staff.
 Earning a Bachelor of Science in Finance and a Master of Science in Accounting (with honors) from the University of Chicago.
With my experience in performing corporate accounting operations, combined with my inherent interpersonal and organizational skills, I am ready to provide outstanding accounting service and leadership within your company.
I look forward to discussing the position with you in further detail. Thank you for your consideration.
Sincerely,"
18,Controller Cover Letter ,"actual, due, sound, seamless, external",,"As an analytical and experienced senior financial professional with more than 13 years of experience leading a broad range of accounting and controller responsibilities, I am well positioned to exceed expectations as HighIce Industries’next Controller.
From analyzing financial reports and overseeing budgets to performing external audits and preparing tax documents, I excel in strategically directing all business aspects of accounting and financial operations. My demonstrated success in training and leading teams to top performance levels—along with my expertise in Sarbanes-Oxley and US GAAP—prepares me to make a significant impact on your organization.
Consider the following highlights of my experience:
 Accurately and expeditiously managing financial statements and analyses, payroll systems, billing and collections, actual vs. budget analyses, audit engagements, and tax and regulatory filings.
 Planning and administering budgets of up to $17M while identifying areas for cost reduction and significantly increasing annual revenues.
 Improving internal processes’such as transitioning to more efficient accounting software and facilitating due diligence activities during company acquisition’to facilitate seamless and more accurate outcomes.
 Suggesting and implementing improved and highly efficient internal accounting methodologies designed to maximize accuracy.
 Demonstrating excellent problem-solving, leadership, interpersonal, and analytical talents throughout my career accomplishments.
With my experience in directing comprehensive accounting operations, combined with my superior attention to detail and my sound business judgment, I am ready to provide outstanding service within your company. I look forward to discussing the position with you in further detail. Thank you for your consideration.
Sincerely,"
19,CPA Cover Letter ,"licensed, competent, demonstrated, positioned, inherent",Tucker & Schmidt,"When I learned of Tucker & Schmidt’s need for a highly competent and experienced CPA, I felt compelled to submit the enclosed resume. As an analytical tax accountant with comprehensive experience performing accounting and tax preparation functions while driving operational efficiency, I am well positioned to exceed your expectations for this position.
From preparing returns and reviewing statements to assisting payroll and sales teams and facilitating audits, I excel in providing comprehensive oversight of accounting operations as a licensed CPA. Additionally, my demonstrated success in managing special projects—along with my ability to collaborate effectively with cross-functional staff—prepares me to make a significant impact on your organization.
Consider the following highlights of my experience:
 Leveraging expertise in tax planning to prepare detailed and accurate returns for individuals, corporations, and partnerships while interfacing directly with clients to analyze and resolve questions and concerns.
 Performing diverse general accounting tasks including general ledger review, billing, accruals, data compilation and analysis, and account reconciliation.
 Excelling within deadline-driven, fast-paced environments while earning recognition for superior work ethic and overall performance.
 Holding a Bachelor’s degree in Accounting from the University of Toledo; certified CPA.
With my experience in managing accounting and tax operations, combined with my inherent interpersonal and organizational skills, I am ready to provide outstanding accounting service within your firm. I look forward to meeting with you and discussing how I am prepared to make a strong contribution in this role.
Thank you for your consideration.
Sincerely,"
20,Entry Level Accountant Cover Letter ,"managerial, overarching, recent, motivational, special",,"Upon review of your posting for an Entry Level Accountant, I hastened to submit my resume. With my strong understanding of accounting and financial principles gained throughout my educational background, as well as my superior organizational and analytical skills, I feel confident that I would significantly benefit your company.
From achieving strong knowledge of tax strategies and financial planning operations to analyzing data and producing detailed reports, my background has prepared me to excel in this role. With a solid foundation in accounting and finance, my communication and team leadership abilities position me ready to thrive in this capacity.
Highlights of my background include:
 Completing coursework to attain my Master’s degree in Accounting with a CPA Concentration, and attaining comprehensive knowledge of strategic financial planning, tax preparation, corporate financial reporting, managerial accounting, business statistics, and 
 principles.
 Preparing financial and accounting-related reports and managing special projects while excelling within detail-oriented, deadline-driven environments.
 Utilizing organizational, interpersonal, and motivational skills to provide overarching support and generate peak results.
With my recent academic-based experience in accounting and finance, coupled with my enthusiasm and dedication to achieving success, I believe I could swiftly surpass your expectations for this role. I look forward to discussing the position in further detail.
Thank you for your time and consideration.
Sincerely,"
21,Fund Accountant Cover Letter ,"offshore, net, exempt, municipal, mutual",,"Upon review of your posting for a Fund Accountant, I am submitting my resume for your consideration. With comprehensive experience analyzing mutual funds to calculate net asset value and trade accuracy, as well as my expertise in managing projects and facilitating general accounting operations, I feel confident that I can significantly benefit your company in this capacity.
From preparing compliance reports and general cash balance projections to reviewing general ledgers and producing audit reports, my background has prepared me to excel in this role. With proven talents in monitoring daily trades, ensuring accurate fund pricing, and collaborating effectively with cross-functional teams, my additional strengths in financial research and client service excellence prepare me to thrive in this challenging position.
The following highlights of my background demonstrate my qualifications for this role:
 Tracking all daily activities to comprise the net asset value of mutual funds of various investment strategies, including domestic and foreign bond funds, equity funds, mortgage-backed asset funds, floating rate commercial loan funds, and tax-exempt municipal funds.
 Suitably valuing client portfolios by ensuring the accuracy of fund trades, cash transactions, corporate actions, and securities’prices.
 Preparing daily/monthly reconciliations, wire transfers, balance sheets, P&L statements, trial balances, income statements, and quarterly/annual financial statements for domestic and offshore funds.
 Maintaining an 83% annual retention rate due to superior level of service and performance.
 Reviewing and approving third-party invoices, incorporating legal, management, and incentive fees.
 Earning a Master of Science in Accounting and Information Management from the University of Missouri and an MBA degree with an emphasis in Finance from St. Louis City College.
 Utilizing organizational, interpersonal, and analytical skills to generate peak results and top performance levels.
With my experience in financial analysis and fund accounting management, coupled with my commitment to achieving accurate and timely results, I believe I can swiftly surpass your expectations for this role. I look forward to talking with you in further detail.
Thank you for your consideration.
Sincerely,"
22,Fund Administrator Cover Letter ,"onshore, offshore, progressive, mutual, total","JPG Financial, Century Capital Investments, JPG Financial","As an accomplished fund and financial services manager with nine years of experience strategically directing mutual fund administration and compliance, I am well prepared to surpass your expectations. With this in mind, I invite JPG Financial to consider the enclosed resume as you look to fulfill the fund administrator role.
Currently, I am responsible for swiftly processing fund expense payments and overseeing expense accruals while providing exceptional client service and satisfaction as a fund manager with Century Capital Investments. My demonstrated record of successfully administering billion-dollar onshore and offshore funds – along with my insightful ability to motivate and lead top-performing teams – positions me to make a significant and positive impact on your business.
Highlights of my experience include the following:
 Overseeing onshore and offshore funds totaling more than $5.4B while monitoring all funds to ensure performance optimization as well as full compliance with federal regulations and guidelines
 Successfully managing client deliverables – including compliance prospectus preparation, total return calculations and dividends, and monthly capital statements – to ensure maximum client satisfaction
 Processing, reviewing, and verifying all subscriptions, redemptions, and transfers
 Leveraging keen financial expertise and market industry analysis to forge solid relationships and build a lasting and trusting client base
 Liaising effectively between auditors, managers, and clients to ensure transaction validity and resolve any outstanding issues or concerns
 Demonstrating superior communication, motivation, and mentoring skills to propel teams to peak performances and encourage progressive career development
With my background and extensive skill set in fund administration, combined with my inherent understanding of accounting and financial service operations, I am ready to provide outstanding service to JPG Financial. I look forward to discussing the position with you in further detail.
Thank you for your consideration.
Sincerely,"
